Feature,Importance
height_mm,0.25769042711727164
width_mm,0.23811389343009215
length_mm,0.1298277869776933
torque_nm,0.08754248320727522
towing_capacity_kg,0.07104311373683225
battery_capacity_kWh,0.04397948991412838
acceleration_0_100_s,0.041293945212030815
range_km,0.03991374408893511
cargo_volume_l,0.0272486670297065
fast_charging_power_kw_dc,0.02578953705080403
top_speed_kmh,0.02299367602890121
number_of_cells,0.012331186365714734
seats,0.002232049840614628
