brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,EV_Persona_Cluster,EV_Persona_Label,range_per_kw,charging_risk_flag
Audi,S6 Avant e-tron,240,94.9,Lithium-ion,180.0,855.0,156,530,3.9,200.0,CCS,2100.0,502.0,5,AWD,JE - Executive,4928,1923,1493,Station/Estate,3,Eco Efficiency,2.65,0
Audi,S6 Sportback e-tron,240,94.9,Lithium-ion,180.0,855.0,149,555,3.9,200.0,CCS,2100.0,502.0,5,AWD,JE - Executive,4928,1923,1465,Liftback Sedan,3,Eco Efficiency,2.775,0
Audi,SQ6 e-tron,230,94.9,Lithium-ion,180.0,855.0,169,470,4.3,200.0,CCS,2400.0,514.0,5,AWD,JD - Large,4771,1965,1685,SUV,3,Eco Efficiency,2.35,0
Audi,SQ6 e-tron Sportback,230,94.9,Lithium-ion,180.0,855.0,164,495,4.3,200.0,CCS,2400.0,511.0,5,AWD,JD - Large,4771,1965,1665,SUV,3,Eco Efficiency,2.475,0
Audi,e-tron GT RS,250,97.0,Lithium-ion,396.0,865.0,184,525,2.8,281.0,CCS,0.0,350.0,4,AWD,F - Luxury,4997,1964,1389,Sedan,3,Eco Efficiency,1.8683274021352314,0
Audi,e-tron GT RS performance,250,97.0,Lithium-ion,396.0,1027.0,182,525,2.5,281.0,CCS,0.0,350.0,4,AWD,F - Luxury,4997,1964,1389,Sedan,3,Eco Efficiency,1.8683274021352314,0
Audi,e-tron GT S,245,97.0,Lithium-ion,396.0,740.0,172,540,3.4,281.0,CCS,0.0,405.0,4,AWD,F - Luxury,5004,1964,1394,Sedan,3,Eco Efficiency,1.9217081850533808,0
Audi,e-tron GT quattro,245,97.0,Lithium-ion,396.0,625.0,169,540,4.0,281.0,CCS,0.0,405.0,4,AWD,F - Luxury,5004,1964,1394,Sedan,3,Eco Efficiency,1.9217081850533808,0
BYD,ATTO 3 (MY25),160,60.5,Lithium-ion,126.0,310.0,144,340,7.3,75.0,CCS,750.0,440.0,5,FWD,JC - Medium,4455,1875,1615,SUV,0,City Commuter,4.533333333333333,0
BYD,DOLPHIN 44.9 kWh Active,150,44.9,Lithium-ion,104.0,180.0,132,265,12.3,50.0,CCS,0.0,345.0,5,FWD,C - Medium,4290,1770,1570,Hatchback,0,City Commuter,5.3,1
BYD,DOLPHIN 60.4 kWh,160,60.5,Lithium-ion,126.0,310.0,142,350,7.0,65.0,CCS,0.0,345.0,5,FWD,C - Medium,4290,1770,1570,Hatchback,0,City Commuter,5.384615384615385,0
BYD,DOLPHIN SURF 30 kWh Active,150,30.0,Lithium-ion,94.0,175.0,136,190,11.1,45.0,CCS,0.0,308.0,4,FWD,B - Compact,3990,1720,1590,Hatchback,0,City Commuter,4.222222222222222,1
BYD,DOLPHIN SURF 43.2 kWh Boost,150,43.2,Lithium-ion,90.0,175.0,134,270,12.1,60.0,CCS,0.0,308.0,4,FWD,B - Compact,3990,1720,1590,Hatchback,0,City Commuter,4.5,1
BYD,DOLPHIN SURF 43.2 kWh Comfort,150,43.2,Lithium-ion,90.0,220.0,139,265,9.1,60.0,CCS,0.0,308.0,4,FWD,B - Compact,3990,1720,1590,Hatchback,0,City Commuter,4.416666666666667,1
BYD,SEAL 61.4 kWh RWD Comfort,220,61.4,Lithium-ion,128.0,380.0,133,365,7.5,75.0,CCS,750.0,400.0,5,RWD,D - Large,4800,1875,1460,Sedan,0,City Commuter,4.866666666666666,0
BYD,SEAL 82.5 kWh AWD Excellence,180,82.5,Lithium-ion,172.0,670.0,159,445,3.8,100.0,CCS,1500.0,400.0,5,AWD,D - Large,4800,1875,1460,Sedan,3,Eco Efficiency,4.45,0
BYD,SEAL 82.5 kWh RWD Design,180,82.5,Lithium-ion,172.0,360.0,145,480,5.9,100.0,CCS,750.0,400.0,5,RWD,D - Large,4800,1875,1460,Sedan,2,Family Utility,4.8,0
BYD,SEAL U 71.8 kWh Comfort,175,71.8,Lithium-ion,132.0,310.0,171,360,9.3,72.0,CCS,1300.0,552.0,5,FWD,JD - Large,4785,1890,1668,SUV,2,Family Utility,5.0,0
BYD,SEAL U 87 kWh Design,175,87.0,Lithium-ion,160.0,330.0,174,425,9.6,85.0,CCS,1300.0,552.0,5,FWD,JD - Large,4785,1890,1668,SUV,2,Family Utility,5.0,0
BYD,SEALION 7 82.5 kWh AWD Design,215,82.5,Lithium-ion,172.0,690.0,181,400,4.5,115.0,CCS,1500.0,520.0,5,AWD,JD - Large,4830,1925,1620,SUV,3,Eco Efficiency,3.4782608695652173,0
BYD,SEALION 7 82.5 kWh RWD Comfort,215,82.5,Lithium-ion,172.0,380.0,171,415,6.7,115.0,CCS,750.0,520.0,5,RWD,JD - Large,4830,1925,1620,SUV,2,Family Utility,3.608695652173913,0
CUPRA,Born 170 kW - 59 kWh,160,59.0,Lithium-ion,216.0,310.0,156,360,6.7,110.0,CCS,0.0,385.0,5,RWD,C - Medium,4322,1809,1540,Hatchback,2,Family Utility,3.272727272727273,0
CUPRA,Born 170 kW - 77 kWh,160,77.0,Lithium-ion,288.0,310.0,157,460,7.0,125.0,CCS,0.0,385.0,5,RWD,C - Medium,4322,1809,1540,Hatchback,2,Family Utility,3.68,0
CUPRA,Born VZ,200,79.0,Lithium-ion,288.0,545.0,149,465,5.6,135.0,CCS,0.0,385.0,5,RWD,C - Medium,4322,1809,1538,Hatchback,2,Family Utility,3.4444444444444446,0
CUPRA,Tavascan Endurance,180,77.0,Lithium-ion,288.0,545.0,142,445,6.8,120.0,CCS,1000.0,540.0,5,RWD,JC - Medium,4644,1861,1597,SUV,2,Family Utility,3.7083333333333335,0
CUPRA,Tavascan VZ,180,77.0,Lithium-ion,288.0,545.0,150,425,5.5,120.0,CCS,1200.0,540.0,5,AWD,JC - Medium,4644,1861,1597,SUV,2,Family Utility,3.5416666666666665,0
Cadillac,Lyriq 600 E4,210,102.0,Lithium-ion,288.0,610.0,192,460,5.3,165.0,CCS,1587.0,793.0,5,AWD,JF - Luxury,5005,1977,1623,SUV,3,Eco Efficiency,2.787878787878788,0
Citroen,e-C4,150,46.3,Lithium-ion,216.0,260.0,135,285,9.9,78.0,CCS,0.0,380.0,5,FWD,C - Medium,4360,1834,1525,Hatchback,0,City Commuter,3.6538461538461537,1
